x,y,heading,s,dst,angle,delta
-10.010057,-17.948095,0.659578,0.400000,19.068211,-82.057831,-8.015101
-10.009050,-17.946020,0.911440,0.000000,6.209598,1.040947,0.166191
-10.009050,-17.946020,0.911440,0.400000,5.988511,0.747544,0.134640
-10.009050,-17.946020,0.911440,0.000000,5.712040,0.789085,0.136029
-10.009050,-17.946020,0.911440,0.400000,5.988511,0.747544,0.134640
-10.009050,-17.946020,0.911440,0.000000,5.712040,0.789085,0.136029
-10.009050,-17.946020,0.911440,0.400000,5.988511,0.747544,0.134640
-10.009050,-17.946020,0.911440,0.000000,5.712040,0.789085,0.136029
-10.004086,-17.944387,1.097411,0.400000,5.988511,0.747544,0.134640
-10.004086,-17.944387,1.097411,0.000000,5.344554,0.603114,0.113757
-10.004086,-17.944387,1.097411,0.400000,5.622596,0.561573,0.112383
-10.004086,-17.944387,1.097411,0.000000,5.344554,0.603114,0.113757
-10.004086,-17.944387,1.097411,0.400000,5.622596,0.561573,0.112383
-10.004086,-17.944387,1.097411,0.000000,5.344554,0.603114,0.113757
-10.002630,-17.943287,1.100413,0.400000,5.622596,0.561573,0.112383
-10.002630,-17.943287,1.100413,0.000000,5.339147,0.600112,0.113403
-10.002630,-17.943287,1.100413,0.400000,5.617157,0.558571,0.112029
-10.002630,-17.943287,1.100413,0.000000,5.339147,0.600112,0.113403
-10.002630,-17.943287,1.100413,0.400000,5.617157,0.558571,0.112029
-10.001940,-17.947937,-0.052564,0.000000,5.339147,0.600112,0.113403
-10.001940,-17.947937,-0.052564,0.400000,7.701790,1.711548,0.248173
-10.001940,-17.947937,-0.052564,0.000000,7.394258,1.753089,0.249251
-10.001940,-17.947937,-0.052564,0.400000,7.701790,1.711548,0.248173
-10.001940,-17.947937,-0.052564,0.000000,7.394258,1.753089,0.249251
-10.001940,-17.947937,-0.052564,0.400000,7.701790,1.711548,0.248173
-9.995417,-17.948845,0.427885,0.000000,7.394258,1.753089,0.249251
-9.995417,-17.948845,0.427885,0.400000,6.938857,1.231099,0.192498
-9.995417,-17.948845,0.427885,0.000000,6.653015,1.272640,0.193794
-9.995417,-17.948845,0.427885,0.400000,6.938857,1.231099,0.192498
-9.995417,-17.948845,0.427885,0.000000,6.653015,1.272640,0.193794
-9.995417,-17.948845,0.427885,0.400000,6.938857,1.231099,0.192498
-9.993259,-17.946928,0.749785,0.000000,6.653015,1.272640,0.193794
-9.993259,-17.946928,0.749785,0.400000,6.323771,0.909198,0.154158
-9.993259,-17.946928,0.749785,0.000000,6.046490,0.950739,0.155539
-9.993259,-17.946928,0.749785,0.400000,6.323771,0.909198,0.154158
-9.993259,-17.946928,0.749785,0.000000,6.046490,0.950739,0.155539
-9.993259,-17.946928,0.749785,0.400000,6.323771,0.909198,0.154158
-9.992567,-17.948046,0.969941,0.000000,6.046490,0.950739,0.155539
-9.992567,-17.948046,0.969941,0.400000,5.885751,0.689042,0.127762
-9.992567,-17.948046,0.969941,0.000000,5.609539,0.730583,0.129154
-9.992567,-17.948046,0.969941,0.400000,5.885751,0.689042,0.127762
-9.992567,-17.948046,0.969941,0.000000,5.609539,0.730583,0.129154
-9.992567,-17.948046,0.969941,0.400000,5.885751,0.689042,0.127762
-9.991780,-17.948627,1.129295,0.000000,5.609539,0.730583,0.129154
-9.991780,-17.948627,1.129295,0.400000,5.572749,0.529688,0.108696
-9.991780,-17.948627,1.129295,0.000000,5.294239,0.571229,0.110065
-9.991780,-17.948627,1.129295,0.400000,5.572749,0.529688,0.108696
-9.991780,-17.948627,1.129295,0.000000,5.294239,0.571229,0.110065
-9.991780,-17.948627,1.129295,0.400000,5.572749,0.529688,0.108696
-9.993810,-17.948679,1.246928,0.000000,5.294239,0.571229,0.110065
-9.993810,-17.948679,1.246928,0.400000,5.347753,0.412056,0.094683
-9.993810,-17.948679,1.246928,0.000000,5.065574,0.453597,0.096015
-9.993810,-17.948679,1.246928,0.400000,5.347753,0.412056,0.094683
-9.993810,-17.948679,1.246928,0.000000,5.065574,0.453597,0.096015
-9.993810,-17.948679,1.246928,0.400000,5.347753,0.412056,0.094683
-9.997249,-17.946625,1.330692,0.000000,5.065574,0.453597,0.096015
-9.997249,-17.946625,1.330692,0.400000,5.191602,0.328292,0.084745
-9.997249,-17.946625,1.330692,0.000000,4.905782,0.369833,0.086041
-9.997249,-17.946625,1.330692,0.400000,5.191602,0.328292,0.084745
-9.997249,-17.946625,1.330692,0.000000,4.905782,0.369833,0.086041
-9.997249,-17.946625,1.330692,0.400000,5.191602,0.328292,0.084745
-9.996155,-17.946121,1.391401,0.000000,4.905782,0.369833,0.086041
-9.996155,-17.946121,1.391401,0.400000,5.086439,0.267583,0.077623
-9.996155,-17.946121,1.391401,0.000000,4.797513,0.309124,0.078887
