x,y,heading,s,dst,angle,delta
0.000000,0.000000,0.000000,1.000000,18.972792,-89.115951,-5.117037
0.000000,0.000000,0.000000,2.000000,-18.844165,1.644306,-3.604402
0.000000,0.000000,0.000000,3.507252,-18.066313,1.704709,-3.442792
0.000000,0.000000,0.000000,5.507060,-17.237476,1.707855,-3.276710
-9.901829,-12.412241,1.604496,6.507066,-16.874520,1.652629,-3.209641
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.901829,-12.412241,1.604496,6.667375,0.019378,0.028508,0.006726
-9.899764,-12.411820,1.645116,6.667375,0.019378,0.028508,0.006726
-9.899764,-12.411820,1.645116,6.669294,-0.181614,-0.012320,-0.037555
-9.899764,-12.411820,1.645116,6.669294,-0.181614,-0.012320,-0.037555
-9.899647,-12.414396,1.625042,6.669294,-0.181614,-0.012320,-0.037555
-9.899647,-12.414396,1.625042,6.666966,-0.081288,0.008007,-0.015457
-9.899647,-12.414396,1.625042,6.666966,-0.081288,0.008007,-0.015457
-9.899647,-12.414396,1.625042,6.666966,-0.081288,0.008007,-0.015457
-9.897987,-12.416533,1.611818,6.666966,-0.081288,0.008007,-0.015457
-9.897987,-12.416533,1.611818,6.663769,-0.013652,0.021580,-0.000572
-9.897987,-12.416533,1.611818,6.663769,-0.013652,0.021580,-0.000572
-9.897987,-12.416533,1.611818,6.663769,-0.013652,0.021580,-0.000572
-9.897987,-12.416533,1.611818,6.663769,-0.013652,0.021580,-0.000572
-9.897987,-12.416533,1.611818,6.663769,-0.013652,0.021580,-0.000572
-9.896318,-12.421653,1.603442,6.663769,-0.013652,0.021580,-0.000572
-9.896318,-12.421653,1.603442,6.657454,0.029557,0.030651,0.008977
-9.896318,-12.421653,1.603442,6.657454,0.029557,0.030651,0.008977
-9.896318,-12.421653,1.603442,6.657454,0.029557,0.030651,0.008977
-9.896318,-12.421653,1.603442,6.657454,0.029557,0.030651,0.008977
-9.896318,-12.421653,1.603442,6.657454,0.029557,0.030651,0.008977
-9.896557,-12.425260,1.596269,6.657454,0.029557,0.030651,0.008977
-9.896557,-12.425260,1.596269,6.652607,0.064936,0.038362,0.016823
-9.896557,-12.425260,1.596269,6.652607,0.064936,0.038362,0.016823
-9.896557,-12.425260,1.596269,6.652607,0.064936,0.038362,0.016823
-9.896557,-12.425260,1.596269,6.652607,0.064936,0.038362,0.016823
-9.896557,-12.425260,1.596269,6.652607,0.064936,0.038362,0.016823
-9.894975,-12.428599,1.593572,6.652607,0.064936,0.038362,0.016823
-9.894975,-12.428599,1.593572,6.648602,0.079774,0.041506,0.020105
